16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=306 ttl=64 time=3203 ms
64 bytes from 10.0.0.8: icmp_seq=307 ttl=64 time=3183 ms
64 bytes from 10.0.0.8: icmp_seq=308 ttl=64 time=3158 ms
64 bytes from 10.0.0.8: icmp_seq=309 ttl=64 time=3379 ms
64 bytes from 10.0.0.8: icmp_seq=310 ttl=64 time=3353 ms
64 bytes from 10.0.0.8: icmp_seq=311 ttl=64 time=3334 ms
64 bytes from 10.0.0.8: icmp_seq=312 ttl=64 time=3307 ms
64 bytes from 10.0.0.8: icmp_seq=313 ttl=64 time=3287 ms
64 bytes from 10.0.0.8: icmp_seq=314 ttl=64 time=3515 ms
64 bytes from 10.0.0.8: icmp_seq=315 ttl=64 time=3246 ms
64 bytes from 10.0.0.8: icmp_seq=316 ttl=64 time=3224 ms
64 bytes from 10.0.0.8: icmp_seq=317 ttl=64 time=3448 ms
64 bytes from 10.0.0.8: icmp_seq=318 ttl=64 time=3427 ms
64 bytes from 10.0.0.8: icmp_seq=319 ttl=64 time=3407 ms
64 bytes from 10.0.0.8: icmp_seq=320 ttl=64 time=3383 ms
64 bytes from 10.0.0.8: icmp_seq=321 ttl=64 time=3363 ms
64 bytes from 10.0.0.8: icmp_seq=322 ttl=64 time=3338 ms
64 bytes from 10.0.0.8: icmp_seq=323 ttl=64 time=3317 ms
64 bytes from 10.0.0.8: icmp_seq=324 ttl=64 time=3534 ms
64 bytes from 10.0.0.8: icmp_seq=325 ttl=64 time=3512 ms
64 bytes from 10.0.0.8: icmp_seq=326 ttl=64 time=3486 ms
64 bytes from 10.0.0.8: icmp_seq=327 ttl=64 time=3469 ms
64 bytes from 10.0.0.8: icmp_seq=328 ttl=64 time=3446 ms
64 bytes from 10.0.0.8: icmp_seq=329 ttl=64 time=3431 ms
64 bytes from 10.0.0.8: icmp_seq=330 ttl=64 time=3408 ms
64 bytes from 10.0.0.8: icmp_seq=331 ttl=64 time=3391 ms
64 bytes from 10.0.0.8: icmp_seq=332 ttl=64 time=3613 ms
64 bytes from 10.0.0.8: icmp_seq=333 ttl=64 time=3597 ms
64 bytes from 10.0.0.8: icmp_seq=334 ttl=64 time=3572 ms
64 bytes from 10.0.0.8: icmp_seq=335 ttl=64 time=3556 ms
64 bytes from 10.0.0.8: icmp_seq=336 ttl=64 time=3539 ms
64 bytes from 10.0.0.8: icmp_seq=337 ttl=64 time=3518 ms
64 bytes from 10.0.0.8: icmp_seq=338 ttl=64 time=3494 ms
64 bytes from 10.0.0.8: icmp_seq=339 ttl=64 time=3476 ms
64 bytes from 10.0.0.8: icmp_seq=340 ttl=64 time=3691 ms
64 bytes from 10.0.0.8: icmp_seq=341 ttl=64 time=3673 ms
64 bytes from 10.0.0.8: icmp_seq=342 ttl=64 time=3648 ms
64 bytes from 10.0.0.8: icmp_seq=343 ttl=64 time=3628 ms
64 bytes from 10.0.0.8: icmp_seq=344 ttl=64 time=3603 ms
64 bytes from 10.0.0.8: icmp_seq=345 ttl=64 time=3582 ms
64 bytes from 10.0.0.8: icmp_seq=346 ttl=64 time=4054 ms
64 bytes from 10.0.0.8: icmp_seq=347 ttl=64 time=3541 ms
64 bytes from 10.0.0.8: icmp_seq=348 ttl=64 time=3760 ms
64 bytes from 10.0.0.8: icmp_seq=349 ttl=64 time=3744 ms
64 bytes from 10.0.0.8: icmp_seq=350 ttl=64 time=3724 ms
64 bytes from 10.0.0.8: icmp_seq=351 ttl=64 time=3703 ms
